       Date (GPS)             x_WGS      y_WGS      z_WGS         xdot       ydot       zdot        x_Ref      y_Ref      z_Ref       xdot_Ref   ydot_Ref   zdot_Ref
1996/10/01  00:05:29.000   -1950622.1  5104997.2 -4581931.3   -1210.8351 -5059.9354 -5119.3057   -1950657.8  5105029.1 -4581931.8   -1211.1919 -5059.7444 -5119.2463
1996/10/01  00:10:29.000   -2249237.2  3370124.9 -5867671.8    -773.5787 -6414.3708 -3382.0750   -2249244.9  3370072.9 -5867622.2    -773.1290 -6414.7055 -3381.5919
1996/10/01  00:15:29.000   -2411673.4  1317001.9 -6577761.1    -306.6822 -7163.8813 -1313.3323   -2411676.5  1316989.1 -6577764.0    -306.4015 -7163.7657 -1313.7257
1996/10/01  00:20:29.000   -2431838.9  -860274.1 -6642865.4     172.2612 -7236.1223   883.8314   -2431879.8  -860299.6 -6642869.8     172.4115 -7236.0679   883.6119
1996/10/01  00:25:29.000   -2308586.0 -2955975.0 -6055967.9     647.8050 -6623.7010  2997.1948   -2308602.9 -2955957.1 -6055960.7     647.4522 -6623.5689  2997.5215
1996/10/01  00:30:29.000   -2045461.9 -4771357.0 -4873479.0    1101.9448 -5381.9272  4821.6463   -2045475.5 -4771339.2 -4873430.8    1101.7301 -5382.0929  4821.5422
1996/10/01  00:35:29.000   -1651588.1 -6133833.0 -3210281.3    1515.2877 -3627.9449  6174.7535   -1651590.9 -6133772.0 -3210271.3    1515.6397 -3627.9430  6174.6805
1996/10/01  00:40:29.000   -1142155.9 -6913493.9 -1229713.8    1867.6492 -1529.5673  6919.3628   -1142389.5 -6913481.0 -1229615.9    1866.4894 -1528.7812  6919.8968
1996/10/01  00:58:01.000    1157741.4 -4557722.1  5327782.7    2244.9077  5526.1986  4244.8196    1158064.0 -4558049.5  5327972.7    2240.7144  5530.7612  4242.0356
1996/10/01  01:03:09.000    1817182.4 -2662860.9  6333621.1    2010.4624  6669.8659  2230.6028    1817145.1 -2662839.8  6333591.8    2010.3891  6669.8310  2231.0910
1996/10/01  01:08:09.000    2365818.2  -576288.9  6678509.8    1621.7088  7128.0629    49.8593    2365903.4  -576299.1  6678512.0    1621.2632  7128.1941    49.7018
1996/10/01  01:13:09.000    2774616.9  1545887.6  6363222.6    1078.2715  6906.8924 -2134.4958    2774538.6  1545897.6  6363156.4    1078.9807  6906.9662 -2134.2809
1996/10/01  01:18:09.000    3000337.9  3502593.3  5419269.6     407.6213  6035.0965 -4106.1961    3000318.5  3502613.7  5419217.3     407.4792  6035.1367 -4106.2180
1996/10/01  01:23:09.000    3009969.3  5110762.9  3940167.0    -354.0004  4603.5005 -5672.1239    3009968.4  5110798.0  3940150.6    -354.1226  4603.2727 -5672.2354
1996/10/01  01:28:09.000    2783491.2  6222967.5  2071934.8   -1147.1907  2754.4837 -6679.5618    2784126.3  6222788.1  2072096.2   -1152.5288  2754.8411 -6677.9192
1996/10/01  01:33:09.000    2321155.7  6740181.8     -437.0   -1923.3504   672.2956 -7024.3276    2321182.9  6740220.3     -443.3   -1923.4303   672.2650 -7024.2551
1996/10/01  01:38:09.000    1639761.9  6622990.5 -2073008.4   -2596.6639 -1441.7585 -6678.3717    1639802.9  6622994.5 -2072986.3   -2597.0235 -1441.8669 -6678.2192
1996/10/01  01:43:09.000     779578.9  5892223.6 -3941521.4   -3105.0052 -3383.1255 -5677.1318     779584.4  5892193.7 -3941526.5   -3104.7463 -3385.7832 -5675.8813
1996/10/01  01:48:09.000    -200403.7  4626726.3 -5422748.2   -3385.6866 -4979.0160 -4118.2960    -200396.9  4626733.5 -5422764.6   -3386.4973 -4978.9019 -4117.8220
1996/10/01  01:53:09.000   -1225167.9  2954332.9 -6371922.2   -3396.9369 -6078.7837 -2157.7970   -1225147.2  2954350.3 -6371884.5   -3397.2711 -6078.7216 -2157.6604
1996/10/01  01:58:09.000   -2209062.7  1038320.4 -6696163.6   -3112.3959 -6592.5328    13.7615   -2209135.6  1038300.2 -6696173.6   -3112.6366 -6592.4289    13.7238
1996/10/01  02:03:09.000   -3063108.8  -938635.6 -6363515.8   -2532.5306 -6483.3213  2186.2210   -3063128.2  -938620.4 -6363555.5   -2532.9158 -6483.2097  2186.0234
1996/10/01  02:08:09.000   -3702066.0 -2791219.6 -5405641.4   -1685.7934 -5772.0591  4147.8839   -3702062.7 -2791237.6 -5405650.1   -1685.9319 -5771.9771  4148.0109
1996/10/01  02:13:09.000   -4053469.8 -4349096.8 -3915294.5    -627.9033 -4535.3233  5706.1765   -4053497.9 -4349087.7 -3915236.4    -627.9487 -4535.2132  5706.3603
1996/10/01  02:18:09.000   -4065891.9 -5472301.4 -2038043.9     558.1607 -2898.5883  6704.5252   -4065929.9 -5472248.1 -2038027.9     558.3494 -2898.5479  6704.5857
1996/10/01  02:23:09.000   -3715972.5 -6064435.0    41037.1    1769.9767 -1025.3920  7039.9867   -3715958.1 -6064476.1    41024.2    1769.5604 -1025.2011  7040.1526
1996/10/01  02:28:09.000   -3013160.4 -6082146.7  2115950.1    2890.2578   900.8600  6677.3889   -3013173.8 -6082136.1  2115958.2    2890.9954   900.4288  6677.0926
1996/10/01  02:33:09.000   -2001797.9 -5537616.3  3980776.4    3809.0450  2692.6152  5650.8691   -2001770.6 -5537625.4  3980757.5    3808.7860  2692.6257  5651.0979
1996/10/01  02:38:09.000    -758392.5 -4496732.6  5450504.8    4423.1715  4183.6293  4065.3010    -758394.6 -4496738.2  5450473.1    4422.4905  4184.2393  4065.5489
1996/10/01  02:43:09.000     613654.0 -3070562.0  6379957.9    4656.5469  5243.0315  2079.8200     613633.8 -3070491.1  6379924.0    4656.4187  5243.3509  2079.6524
1996/10/01  02:48:09.000    1993147.9 -1402732.7  6677891.1    4468.4093  5784.4423  -109.0093    1993101.4 -1402668.3  6677909.2    4468.0824  5784.8021  -109.1753
1996/10/01  02:53:09.000    3251724.2   345097.5  6315742.4    3854.3054  5775.1317 -2284.2568    3251715.3   345137.1  6315722.6    3853.4471  5775.5053 -2285.0362
1996/10/01  02:58:09.000    4266048.3  2009355.8  5329690.8    2849.7883  5234.7431 -4234.2945    4266096.1  2009370.7  5329647.1    2849.4104  5235.2097 -4234.0509
1996/10/01  03:03:09.000    4929965.1  3439853.5  3817288.2    1532.8856  4232.8945 -5764.2007    4929962.2  3439891.0  3817279.3    1532.5644  4232.5864 -5764.5590
1996/10/01  03:08:09.000    5165476.6  4513611.6  1928111.9      14.3311  2877.2734 -6725.5980    5165415.0  4513574.1  1928046.7      14.3886  2877.4786 -6725.6157
1996/10/01  03:13:09.000    4932089.0  5144993.3  -151441.5   -1568.2776  1309.0760 -7022.7092    4932133.2  5145026.7  -151460.2   -1567.9785  1309.3597 -7022.6237
1996/10/01  03:18:09.000    4233043.7  5293301.2 -2216110.2   -3065.2253  -317.1174 -6627.4390    4233188.1  5293327.2 -2216080.7   -3064.8299  -317.4406 -6627.4916
1996/10/01  03:23:09.000    3116481.1  4964054.0 -4062616.0   -4329.9690 -1849.9260 -5580.4922    3116555.8  4964041.9 -4062621.5   -4329.0763 -1850.0127 -5581.1807
1996/10/01  03:28:09.000    1671994.1  4206495.4 -5510006.5   -5231.1391 -3152.0121 -3988.7134    1672047.1  4206470.4 -5509978.6   -5231.3124 -3152.0535 -3988.5166
1996/10/01  03:33:09.000      23905.3  3106708.9 -6416625.2   -5672.7238 -4116.1321 -2006.6180      23979.6  3106738.5 -6416661.9   -5672.7932 -4116.0467 -2006.3679
1996/10/01  03:38:09.000   -1679623.7  1777903.0 -6694083.5   -5595.0148 -4671.2307   172.6604   -1679553.8  1777868.7 -6694082.7   -5595.0902 -4671.1333   172.3398
1996/10/01  03:43:09.000   -3279845.5   348139.4 -6314695.0   -4986.2461 -4786.6506  2337.2178   -3279806.3   348138.7 -6314707.6   -4986.3654 -4786.7775  2336.5660
1996/10/01  03:48:09.000   -4621839.0 -1051132.5 -5314712.4   -3884.4052 -4473.0439  4275.6479   -4621874.5 -1051125.2 -5314714.9   -3884.3111 -4472.9700  4275.7197
1996/10/01  03:53:09.000   -5569574.4 -2297338.6 -3791037.4   -2375.7794 -3777.9313  5798.3602   -5569594.9 -2297381.0 -3791039.8   -2375.7767 -3777.6474  5798.5099
1996/10/01  03:58:09.000   -6019742.9 -3287590.3 -1892764.7    -591.9216 -2781.2940  6751.8304   -6019692.6 -3287553.3 -1892748.3    -591.9093 -2781.5503  6751.7644
1996/10/01  04:03:09.000   -5913669.1 -3946744.3   193034.3    1302.2073 -1590.2840  7037.3353   -5913637.5 -3946716.9   193032.0    1302.3758 -1589.9658  7037.4184
1996/10/01  04:08:09.000   -5245509.0 -4233925.2  2259592.0    3124.6537  -320.8566  6624.4625   -5245513.7 -4233857.2  2259611.2    3124.2488  -321.6458  6624.5888
1996/10/01  04:13:09.000   -4064510.6 -4144067.8  4101779.5    4692.4831   903.8626  5554.1722   -4064523.5 -4144010.6  4101793.6    4692.4974   904.0200  5554.1107
1996/10/01  04:18:09.000   -2471370.3 -3706525.2  5536875.4    5848.3150  1978.8433  3933.0506   -2471478.3 -3706527.9  5536920.8    5847.4130  1979.6115  3933.8996
1996/10/01  04:23:09.000    -609712.4 -2979837.3  6423290.4    6467.8314  2819.6974  1926.1928    -609715.5 -2979883.3  6423287.3    6467.6456  2819.7713  1926.4772
1996/10/01  04:28:09.000    1348375.3 -2044007.1  6673967.2    6482.5431  3367.5545  -268.4615    1348378.4 -2044000.8  6673980.9    6482.4920  3367.6159  -268.6553
1996/10/01  04:33:09.000    3217735.6  -991289.3  6264996.3    5878.6640  3596.7657 -2435.2392    3217699.2  -991243.4  6264965.7    5878.5359  3597.1827 -2435.1796
1996/10/01  04:38:09.000    4818044.1    82799.5  5237130.4    4701.6485  3513.0243 -4359.8478    4818023.1    82815.9  5237108.6    4701.7126  3512.7350 -4360.1451
1996/10/01  04:43:09.000    5991538.0  1088032.4  3692123.5    3054.0409  3146.3427 -5853.9355    5991513.9  1088065.7  3692111.1    3054.3950  3145.7072 -5854.1931
1996/10/01  04:48:09.000    6618604.1  1947267.9  1782625.7    1087.0635  2549.6374 -6769.9214    6618557.6  1947276.9  1782613.3    1087.2253  2549.5629 -6769.9644
1996/10/01  04:53:09.000    6630298.9  2601765.2  -302801.0   -1014.1389  1793.2781 -7017.4688    6630339.7  2601751.7  -302803.2   -1014.4842  1793.1542 -7017.3580
1996/10/01  04:58:09.000    6016585.5  3014761.7 -2358384.5   -3048.8407   952.2624 -6573.5694    6016587.2  3014782.0 -2358416.2   -3049.1409   952.8433 -6573.2240
1996/10/01  05:03:09.000    4827408.0  3172630.2 -4181914.1   -4819.5497   104.3425 -5483.4590    4827357.3  3172660.9 -4181953.1   -4819.6056   104.2899 -5483.3780
1996/10/01  05:08:09.000    3168679.8  3083331.1 -5594589.1   -6153.2398  -684.6005 -3856.8395    3168650.3  3083342.6 -5594604.6   -6153.1892  -684.8537 -3856.8594
1996/10/01  05:13:09.000    1192539.1  2773141.0 -6458285.5   -6918.3055 -1360.2844 -1853.4383    1192479.2  2773172.7 -6458288.1   -6918.1986 -1360.3072 -1853.7002
1996/10/01  05:18:09.000    -917280.4  2282384.9 -6688528.0   -7035.7254 -1884.3426   330.9587    -917315.9  2282395.0 -6688589.2   -7035.6859 -1883.9540   331.2469
1996/10/01  05:23:09.000   -2962020.8  1660183.6 -6262573.4   -6486.4509 -2234.5312  2486.0543   -2962044.7  1660177.7 -6262537.4   -6486.3834 -2234.3494  2486.2844
1996/10/01  05:28:09.000   -4746546.4   959731.8 -5220832.8   -5313.1557 -2405.5497  4401.7211   -4746550.4   959746.4 -5220862.7   -5313.1599 -2405.5804  4401.5676
1996/10/01  05:33:09.000   -6097674.9   234059.8 -3664704.9   -3619.4857 -2405.5376  5887.4741   -6097686.6   234042.3 -3664620.4   -3619.1974 -2405.0372  5887.9347
1996/10/01  05:38:09.000   -6881514.3  -467889.8 -1746171.5   -1561.0439 -2251.0451  6795.4745   -6881507.1  -467875.9 -1746158.9   -1560.9748 -2250.7519  6795.6241
1996/10/01  05:43:09.000   -7017421.2 -1103646.3   345311.3     664.4707 -1968.9502  7030.9543   -7017416.1 -1103593.6   345299.0     665.1157 -1968.4569  7031.0611
1996/10/01  05:48:09.000   -6487323.7 -1639112.2  2402445.7    2842.2680 -1587.8484  6568.7643   -6487325.9 -1639151.2  2402440.6    2842.4193 -1588.2055  6568.5508
1996/10/01  05:53:09.000   -5338296.7 -2049829.1  4221003.3    4756.8815 -1141.7947  5454.1245   -5338307.7 -2049832.6  4221001.0    4757.1774 -1141.0450  5454.0080
1996/10/01  05:58:09.000   -3678160.8 -2320000.6  5620719.5    6221.5552  -657.3209  3799.9550   -3678191.3 -2320017.6  5620701.9    6221.7503  -656.1484  3799.8258
1996/10/01  06:03:09.000   -1664699.6 -2442303.0  6463378.6    7093.8749  -158.8095  1771.9295   -1664703.5 -2442306.4  6463393.8    7093.8417  -158.9517  1771.8155
1996/10/01  06:08:09.000     510295.8 -2416218.8  6666518.8    7289.8119   329.4267  -428.5237     510276.3 -2416287.2  6666503.3    7289.7680   329.3850  -428.5727
1996/10/01  06:13:09.000    2639484.5 -2247372.9  6210740.8    6791.3419   791.2254 -2584.2071    2639492.5 -2247324.0  6210702.8    6791.2738   791.2997 -2584.5936
1996/10/01  06:18:09.000    4520157.5 -1945752.6  5141418.6    5646.2492  1211.5103 -4484.5172    4520194.0 -1945707.8  5141449.8    5646.4100  1211.2261 -4484.4245
1996/10/01  06:23:09.000    5973552.3 -1526289.7  3564508.3    3965.5103  1573.9868 -5941.0209    5973548.2 -1526291.4  3564510.2    3965.4068  1574.0993 -5941.0929
1996/10/01  06:28:09.000    6861960.0 -1008493.3  1635673.7    1910.8744  1864.4829 -6810.7524    6861940.6 -1008514.3  1635674.3    1910.6690  1864.2816 -6810.9191
1996/10/01  06:33:09.000    7102442.9  -416625.0  -454557.7    -318.9526  2065.2471 -7008.3770    7102419.4  -416633.5  -454576.6    -318.8103  2065.3480 -7008.3760
1996/10/01  06:38:09.000    6674769.0   220139.9 -2500072.1   -2507.3526  2160.7563 -6515.3862    6674742.4   220130.8 -2500064.3   -2507.6151  2160.8220 -6515.2891
1996/10/01  06:43:09.000    5622952.9   867759.4 -4299548.7   -4446.2177  2135.3528 -5382.5271    5622954.8   867779.7 -4299552.9   -4446.2893  2135.6036 -5382.3419
1996/10/01  06:48:09.000    4050381.6  1488247.7 -5676615.8   -5952.2447  1977.7297 -3722.9623    4050380.0  1488223.3 -5676636.3   -5952.3349  1977.8713 -3722.7396
1996/10/01  06:53:09.000    2108859.9  2040631.4 -6496734.6   -6886.9273  1681.6241 -1699.8290    2108868.6  2040593.6 -6496729.3   -6887.0970  1681.3132 -1699.5892
1996/10/01  06:58:09.000     -16195.6  2483281.8 -6679717.0   -7167.1420  1247.3643   489.9025     -16201.2  2483254.7 -6679649.7   -7167.1494  1247.5416   490.4390
1996/10/01  07:03:09.000   -2123506.9  2776555.5 -6207060.6   -6770.2192   688.6035  2635.6894   -2123532.9  2776560.6 -6207012.8   -6770.4360   688.6088  2635.1072
1996/10/01  07:08:09.000   -4014702.9  2886336.8 -5124156.9   -5737.9306    28.6026  4525.1097   -4014668.4  2886310.6 -5124097.4   -5737.7931    29.0446  4525.3888
1996/10/01  07:13:09.000   -5512511.8  2787695.2 -3536051.6   -4169.8442  -693.2113  5974.4033   -5512512.0  2787694.6 -3536045.4   -4169.9340  -693.0108  5974.3780
1996/10/01  07:18:09.000   -6478183.7  2469319.9 -1598430.9   -2219.2843 -1426.7843  6835.9393   -6478243.6  2469320.2 -1598411.0   -2219.5196 -1426.5710  6835.8892
1996/10/01  07:23:09.000   -6824991.9  1936651.3   497581.7     -77.7164 -2111.2797  7020.7477   -6824989.3  1936657.2   497606.4     -77.4004 -2110.9340  7020.9028
1996/10/01  07:28:09.000   -6526515.4  1214127.7  2544163.8    2047.1674 -2681.1703  6508.7951   -6526484.7  1214179.5  2544185.8    2046.8432 -2681.1861  6508.8881
1996/10/01  07:33:09.000   -5619339.2   345587.5  4338086.4    3948.2042 -3074.7041  5350.7289   -5619323.5   345612.3  4338118.1    3947.5711 -3075.1038  5350.8829
1996/10/01  07:38:09.000   -4198417.0  -607976.4  5701602.1    5444.4367 -3241.7816  3663.2790   -4198410.8  -607959.8  5701615.2    5445.0929 -3240.3411  3663.6325
1996/10/01  07:43:09.000   -2406364.0 -1572078.7  6500206.9    6400.9273 -3142.0729  1623.5876   -2406373.8 -1572046.3  6500159.6    6403.4296 -3140.8351  1616.1521
1996/10/01  07:48:09.000    -418543.0 -2464431.7  6655572.3    6742.1877 -2761.6386  -588.4245    -418527.3 -2464429.0  6655560.4    6742.0818 -2761.8434  -588.3243
1996/10/01  07:53:09.000    1574743.0 -3202067.4  6153193.6    6441.5614 -2113.6108 -2732.6197    1574752.8 -3202117.3  6153201.4    6441.5469 -2113.3882 -2732.6604
1996/10/01  07:58:09.000    3386444.4 -3709058.1  5043097.2    5543.1411 -1231.9101 -4606.1652    3386415.4 -3709069.1  5043124.6    5543.0417 -1231.8783 -4606.2685
1996/10/01  08:03:09.000    4850290.0 -3923948.3  3435093.3    4144.0136  -180.4332 -6024.6591    4850334.5 -3924087.0  3435102.8    4143.6599  -179.5542 -6024.7481
1996/10/01  08:08:09.000    5836719.4 -3808052.7  1487955.9    2386.6079   958.7995 -6848.2984    5836742.6 -3808126.7  1487982.6    2386.6584   958.9900 -6848.1555
1996/10/01  08:13:09.000    6263985.4 -3350091.1  -605964.5     446.5026  2084.1577 -6995.4438    6264007.6 -3350072.6  -605966.8     446.8955  2083.5211 -6995.6119
1996/10/01  08:18:09.000    6105473.2 -2570111.8 -2640216.3   -1486.7817  3087.7383 -6453.9243    6105456.4 -2570083.2 -2640239.4   -1487.3189  3087.5159 -6453.9367
1996/10/01  08:23:09.000    5390504.4 -1519870.0 -4414772.0   -3233.9726  3869.2186 -5278.3639    5390463.5 -1519861.6 -4414756.2   -3233.8826  3869.0344 -5278.6177
1996/10/01  08:28:09.000    4199854.8  -279650.0 -5755674.0   -4635.1558  4341.1616 -3586.5203    4199813.5  -279672.6 -5755606.9   -4634.8739  4341.2688 -3586.9097
1996/10/01  08:33:09.000    2656316.4  1047722.7 -6531700.9   -5571.0674  4440.8980 -1545.1669    2656230.0  1047606.3 -6531765.9   -5570.5499  4441.6137 -1544.9207
1996/10/01  08:38:09.000     911413.0  2344756.4 -6667338.0   -5967.4371  4139.7230   649.5457     911448.4  2344831.6 -6667320.5   -5968.2979  4138.5186   648.9780
1996/10/01  08:43:09.000    -868638.9  3490669.5 -6148468.1   -5806.6648  3436.1592  2782.4179    -868644.8  3490664.2 -6148465.3   -5806.7411  3436.1750  2782.1655
1996/10/01  08:48:09.000   -2519507.7  4370707.5 -5024881.6   -5116.2326  2377.2176  4646.3823   -2519520.7  4370718.1 -5024983.5   -5116.0474  2376.9156  4646.5131
1996/10/01  08:53:09.000   -3893069.5  4888992.8 -3405949.7   -3974.5967  1041.0213  6057.4484   -3893052.0  4889005.0 -3406041.3   -3974.5192  1040.6936  6057.4378
1996/10/01  08:58:09.000   -4870972.5  4978664.9 -1450308.3   -2501.4566  -459.5722  6872.3313   -4870963.8  4978668.4 -1450308.6   -2501.3048  -459.3586  6872.4388
1996/10/01  09:03:09.000   -5375462.0  4610688.1   649133.1    -845.0179 -1986.3171  7006.9495   -5375475.4  4610702.8   649154.8    -844.9720 -1985.9099  7007.1023
1996/10/01  09:08:09.000   -5375954.1  3799423.4  2684145.1     830.6520 -3389.8988  6446.5369   -5375906.9  3799300.7  2684135.1     831.8928 -3390.8607  6446.0097
1996/10/01  09:13:09.000   -4890138.7  2602643.8  4452577.3    2369.3049 -4531.6879  5245.6240   -4890245.9  2602695.7  4452573.8    2370.3904 -4531.4324  5245.2476
1996/10/01  09:18:09.000   -3981423.2  1119162.5  5779236.8    3632.4080 -5285.5664  3526.1519   -3981473.2  1119166.1  5779250.0    3632.0171 -5285.9079  3525.8684
1996/10/01  09:23:09.000   -2749404.1  -521354.6  6533342.2    4511.6405 -5566.8501  1459.8113   -2749367.7  -521336.8  6533337.5    4511.7316 -5566.7249  1460.0128
1996/10/01  09:28:09.000   -1319072.4 -2168893.8  6641039.8    4946.1007 -5329.8051  -747.3513   -1319121.2 -2168921.2  6641056.3    4946.0829 -5329.6983  -747.4373
1996/10/01  09:33:09.000     171708.0 -3667641.5  6092492.2    4916.3708 -4579.1001 -2879.3007     171726.6 -3667639.4  6092483.1    4916.3498 -4579.1832 -2879.0833
1996/10/01  09:38:09.000    1586649.2 -4870326.4  4942230.6    4447.6707 -3368.8393 -4725.7028    1586643.0 -4870330.5  4942214.8    4447.4740 -3369.2354 -4725.5696
1996/10/01  09:43:09.000    2802575.5 -5653194.4  3304028.8    3603.7187 -1800.3985 -6105.1277    2802597.5 -5653179.8  3303984.7    3603.5325 -1800.6059 -6105.1626
1996/10/01  09:48:09.000    3720773.4 -5928740.3  1339659.3    2480.4109   -13.6248 -6881.7316    3720755.6 -5928724.2  1339616.4    2480.2336   -13.1771 -6881.7832
1996/10/01  09:53:09.000    4274458.3 -5655834.6  -756897.7    1194.5935  1826.6408 -6979.2100    4274454.2 -5655810.4  -756938.4    1194.3916  1826.6608 -6979.2339
1996/10/01  09:58:09.000    4433664.8 -4845187.9 -2778949.9    -128.4948  3542.3843 -6389.3810    4433691.6 -4845166.7 -2778957.5    -128.5983  3542.3828 -6389.3326
1996/10/01  10:03:09.000    4205630.4 -3559675.1 -4527645.7   -1368.8191  4965.6333 -5172.1929    4205717.7 -3559724.6 -4527622.7   -1367.9166  4965.5202 -5172.3368
1996/10/01  10:08:09.000    3631849.9 -1909753.3 -5831623.8   -2420.0353  5951.7735 -3450.5684    3631849.2 -1909573.8 -5831617.5   -2419.0021  5952.7774 -3449.5185
1996/10/01  10:13:09.000    2781209.7   -42268.9 -6563542.3   -3202.2413  6399.7290 -1389.8098    2781217.5   -42247.3 -6563542.0   -3202.0805  6399.7875 -1389.8258
1996/10/01  10:18:09.000    1742511.8  1870543.4 -6651833.4   -3670.1399  6249.8965   799.5031    1742517.1  1870525.2 -6651781.1   -3667.0441  6250.8860   806.7541
1996/10/01  10:23:09.000     614806.0  3648382.3 -6087041.3   -3794.9962  5504.7236  2927.6592     614793.3  3648373.7 -6087105.9   -3795.0017  5504.7766  2927.3611
1996/10/01  10:28:09.000    -501829.8  5119018.1 -4923731.6   -3598.4794  4216.4805  4764.1193    -501829.3  5118999.1 -4923752.2   -3597.3309  4216.5749  4764.9180
1996/10/01  10:33:09.000   -1514843.8  6134886.0 -3274823.9   -3112.6975  2495.7734  6137.2768   -1514840.1  6134886.7 -3274828.4   -3112.7696  2495.6338  6137.2021
1996/10/01  10:38:09.000   -2346932.7  6588578.6 -1302067.6   -2402.1518   497.5871  6905.6401   -2346876.1  6588596.2 -1302037.7   -2402.5877   497.9879  6905.4104
1996/10/01  10:43:09.000   -2941506.2  6424840.9   799769.6   -1543.6930 -1587.1366  6989.9012   -2941504.8  6424875.3   799803.7   -1543.7843 -1587.2009  6989.8204
1996/10/01  10:48:09.000   -3266720.1  5647880.8  2822242.2    -620.1176 -3556.3009  6380.3332   -3266739.4  5647895.5  2822198.6    -620.8441 -3556.4658  6380.0891
